Date/heure;Température de l'air MOY [°C];Température de l'air MAX [°C];Température de l'air MIN [°C];Température sèche MOY [°C];Température sèche MAX [°C];Température sèche MIN [°C];Précipitations [mm];EAG Humidité du sol 1 [%];EAG Humidité du sol 2 [%];EAG Humidité du sol 3 [%];EAG Humidité du sol 4 [%];EAG Humidité du sol 5 [%];EAG Humidité du sol 6 [%];Température du sol MOY 1 [°C];Température du sol MAX 1 [°C];Température du sol MIN 1 [°C];Température du sol MOY 2 [°C];Température du sol MAX 2 [°C];Température du sol MIN 2 [°C];Température du sol MOY 3 [°C];Température du sol MAX 3 [°C];Température du sol MIN 3 [°C];Température du sol MOY 4 [°C];Température du sol MAX 4 [°C];Température du sol MIN 4 [°C];Température du sol MOY 5 [°C];Température du sol MAX 5 [°C];Température du sol MIN 5 [°C];Température du sol MOY 6 [°C];Température du sol MAX 6 [°C];Température du sol MIN 6 [°C];Panneau solaire [mV];Batterie [mV]
08/09/2022 16:00;22,05;22,69;21,41;;;;0;0;0;0,04;0,19;0;0;22,5;23,2;21,9;22,4;22,9;21,7;22,6;23,1;22,1;21,9;22,3;21,5;22,3;22,7;21,9;22,6;22,8;22,2;0;6459
08/09/2022 15:00;20,9;21,32;20,32;;;;0;0;0;0,04;0,19;0;0;21,5;21,8;21;21,3;21,7;20,9;21,4;21,9;21;20,8;21,3;20,4;21,2;21,8;20,9;21,5;22,1;21;0;6485
08/09/2022 14:00;20,92;21,4;20,43;;;;0;0;0;0,04;0,16;0;0;21,3;21,9;20,8;21,1;21,6;20,7;21,1;21,5;20,7;20,3;20,8;20;20,8;21,3;20,3;20,9;21,5;20,4;0;6499
08/09/2022 13:00;20,15;20,75;19,44;;;;0;0;0;0,03;0,15;0;0;20,3;20,7;19,9;20;20,5;19,6;20,1;20,6;19,8;19,5;20;19;19,8;20,3;19,4;20,1;20,4;19,6;0;6531
08/09/2022 12:00;19,09;19,62;18,37;;;;0;0;0;0,02;0,11;0,3;0;19,5;19,9;19;19,2;19,6;18,7;19,2;19,7;18,7;18,4;19;17,9;18,4;19,3;17,7;18,7;19,5;18;0;6610
08/09/2022 11:00;17,28;18,41;16,76;;;;0;6,43;11,69;12,62;20,13;25,01;26,06;17,7;18,9;17;17,8;18,5;17,5;18,6;18,9;18;18,3;18,7;17,8;18,5;18,9;17,8;18,5;19;18;8862;6761
08/09/2022 10:00;16,27;17,04;15,66;;;;0;12,82;21,26;21,48;34,46;42,71;44,62;16,9;17,1;16,8;17,9;18;17,8;18,9;19;18,9;18,7;18,8;18,6;18,8;18,9;18,8;18,9;19;18,9;9097;6767
08/09/2022 09:00;15,12;16,95;14,34;;;;0;12,55;21,34;21,54;34,51;42,7;44,62;16,8;17;16,8;18;18,1;17,9;19;19,1;19;18,7;18,8;18,7;18,9;19;18,9;19;19;19;6935;6656
08/09/2022 08:00;14,18;14,52;13,88;;;;0;12,53;21,35;21,57;34,54;42,69;44,62;16,9;17;16,8;18,2;18,3;18,1;19,1;19,3;19,1;18,8;18,9;18,7;19;19,1;19;19;19;19;4543;6468
08/09/2022 07:00;14,44;14,51;14,39;;;;0;12,55;21,36;21,58;34,53;42,7;44,63;17;17,1;17;18,3;18,4;18,2;19,3;19,4;19,2;18,8;19;18,8;19;19,1;19;19;19;19;0;6448
