Date/heure;Précipitations [mm];EAG Humidité du sol 1 [%];EAG Humidité du sol 2 [%];EAG Humidité du sol 3 [%];EAG Humidité du sol 4 [%];EAG Humidité du sol 5 [%];EAG Humidité du sol 6 [%];Température du sol MOY 1 [°C];Température du sol MAX 1 [°C];Température du sol MIN 1 [°C];Température du sol MOY 2 [°C];Température du sol MAX 2 [°C];Température du sol MIN 2 [°C];Température du sol MOY 3 [°C];Température du sol MAX 3 [°C];Température du sol MIN 3 [°C];Température du sol MOY 4 [°C];Température du sol MAX 4 [°C];Température du sol MIN 4 [°C];Température du sol MOY 5 [°C];Température du sol MAX 5 [°C];Température du sol MIN 5 [°C];Température du sol MOY 6 [°C];Température du sol MAX 6 [°C];Température du sol MIN 6 [°C];Batterie [mV];Panneau solaire [mV]
2022-09-08 14:00:00;0;0;0;0,05;0;0,09;0,08;21,4;21,8;20,8;21,2;21,6;20,8;20,9;21,2;20,8;20,5;20,9;20,3;20,7;21;20,5;20,5;20,9;20,1;6697;1075
2022-09-08 13:00:00;0;0;0;0,05;0;0,08;0,09;20,3;20,8;19,9;20,3;20,8;19,8;20,2;20,5;19,8;19,8;20,1;19,5;20;20,4;19,8;19,7;19,9;19,5;6735;5050
2022-09-08 12:00:00;0;0;0;0,04;0;0,05;0,05;19,2;19,6;18,6;19,2;19,6;18,6;19,2;19,6;18,8;19,2;19,5;19;19,4;19,7;19,2;19;19,3;18,7;6802;2076
2022-09-08 11:00:00;0;6,28;13,48;17,9;16,61;20,47;23,23;17,2;18,2;16,7;17,7;18;17,5;18,5;19;17,9;18,8;19,2;18,3;19,1;19,5;18,8;18,8;19,1;18,3;6838;10427
2022-09-08 10:00:00;0;13,2;27,11;35,76;33,27;40,94;46,47;16,3;16,6;16,3;17,7;17,9;17,7;19;19,2;19;19,2;19,2;19,2;19,5;19,6;19,5;19,1;19,1;19,1;6838;10408
2022-09-08 09:00:00;0;15,33;27,68;35,66;33,35;40,97;46,49;16,1;16,2;16,1;17,7;17,9;17,7;19,2;19,2;19,2;19,2;19,3;19,2;19,5;19,6;19,5;19,1;19,1;19,1;6809;6992
2022-09-08 08:00:00;0;15,33;27,69;35,67;33,35;40,96;46,48;16,2;16,3;16,2;18;18;18;19,3;19,4;19,3;19,3;19,4;19,3;19,6;19,7;19,6;19,1;19,2;19,1;6475;6634
2022-09-08 07:00:00;0;15,38;27,69;35,66;33,38;40,96;46,48;16,3;16,5;16,3;18,1;18,3;18,1;19,4;19,5;19,4;19,3;19,5;19,3;19,6;19,8;19,6;19,1;19,2;19,1;6435;271
2022-09-08 06:00:00;0;15,34;27,69;35,66;33,37;40,95;46,48;16,5;16,7;16,5;18,3;18,5;18,2;19,6;19,6;19,6;19,5;19,5;19,5;19,7;19,8;19,7;19,1;19,2;19,1;6448;0
2022-09-08 05:00:00;0;15,35;27,71;35,7;33,37;40,99;46,48;16,7;16,9;16,7;18,5;18,7;18,4;19,6;19,6;19,6;19,5;19,6;19,5;19,8;19,8;19,8;19,2;19,2;19,2;6461;0
