Date/heure;Précipitations [mm];EAG Humidité du sol 1 [%];EAG Humidité du sol 2 [%];EAG Humidité du sol 3 [%];EAG Humidité du sol 4 [%];EAG Humidité du sol 5 [%];EAG Humidité du sol 6 [%];Température du sol MOY 1 [°C];Température du sol MAX 1 [°C];Température du sol MIN 1 [°C];Température du sol MOY 2 [°C];Température du sol MAX 2 [°C];Température du sol MIN 2 [°C];Température du sol MOY 3 [°C];Température du sol MAX 3 [°C];Température du sol MIN 3 [°C];Température du sol MOY 4 [°C];Température du sol MAX 4 [°C];Température du sol MIN 4 [°C];Température du sol MOY 5 [°C];Température du sol MAX 5 [°C];Température du sol MIN 5 [°C];Température du sol MOY 6 [°C];Température du sol MAX 6 [°C];Température du sol MIN 6 [°C];Panneau solaire [mV];Batterie [mV]
2022-06-02 17:00:00;0.0;;;;;;;;;;;;;;;;;;;;;;;;;7419;6784
2022-06-02 18:00:00;0.0;0.0;0.0;0.0;0.07;9.58;19.22;25.1;25.7;24.4;24.8;26.1;23.7;25.1;25.4;24.5;26.0;26.4;25.2;22.7;23.1;22.5;18.7;19.4;18.5;9753;6801
2022-06-02 19:00:00;0.0;0.0;0.0;0.0;0.07;9.8;19.49;24.0;24.5;23.5;23.1;23.9;22.5;25.6;25.7;25.3;26.2;26.5;25.7;23.4;23.6;23.2;19.4;19.8;19.0;8991;6793
2022-06-02 20:00:00;0.0;0.0;0.0;0.0;0.08;9.77;19.62;21.9;23.4;19.5;21.2;22.5;19.1;23.1;25.2;20.2;22.1;25.4;19.3;22.4;23.4;21.7;19.9;20.0;19.8;4826;6625
2022-06-02 21:00:00;0.0;0.0;0.0;0.01;0.11;9.7;19.69;17.4;18.9;15.0;17.0;18.5;14.9;17.1;19.3;15.1;16.7;18.7;15.0;20.4;21.5;19.6;19.8;20.0;19.7;723;6556
2022-06-02 22:00:00;0.0;0.0;0.0;0.01;0.12;9.64;19.71;12.9;14.5;11.8;13.0;14.5;11.9;13.2;14.7;12.0;13.3;14.8;12.2;18.7;19.5;18.0;19.3;19.7;19.1;0;6539
2022-06-02 23:00:00;0.0;0.0;0.01;0.01;0.13;9.62;19.69;11.6;11.8;11.2;11.5;11.7;11.0;11.7;12.0;11.3;11.6;12.1;11.3;17.3;17.9;16.7;18.7;19.0;18.3;0;6536
2022-06-03 00:00:00;0.0;0.0;0.01;0.02;0.12;9.69;19.67;13.3;13.7;12.1;13.1;13.6;11.9;13.1;13.6;11.9;12.6;13.1;11.7;16.3;16.7;16.0;17.9;18.3;17.7;0;6522
2022-06-03 01:00:00;0.0;0.0;0.01;0.02;0.13;9.71;19.64;12.3;13.3;11.6;12.3;13.2;11.5;12.4;13.3;11.7;12.1;12.9;11.4;15.6;15.9;15.2;17.3;17.6;17.0;0;6525
2022-06-03 02:00:00;0.0;0.0;0.02;0.01;0.13;9.68;19.62;10.9;11.4;10.2;10.8;11.5;10.2;11.0;11.5;10.4;10.7;11.3;10.1;14.8;15.1;14.5;16.7;17.0;16.5;0;6519
2022-06-03 03:00:00;0.0;0.0;0.03;0.01;0.14;9.67;19.6;9.8;10.2;9.3;9.7;10.3;9.3;9.9;10.3;9.5;9.6;10.1;9.2;14.1;14.3;13.7;16.1;16.4;15.9;0;6508
2022-06-03 04:00:00;0.0;0.0;0.03;0.02;0.15;9.65;19.58;9.1;9.3;8.9;9.0;9.3;8.8;9.2;9.5;9.1;8.9;9.2;8.8;13.5;13.7;13.2;15.7;15.9;15.5;0;6511
2022-06-03 05:00:00;0.0;0.0;0.04;0.02;0.16;9.64;19.56;8.9;9.1;8.8;8.8;8.9;8.7;9.0;9.1;8.9;8.7;8.7;8.5;12.8;13.1;12.6;15.1;15.3;14.9;977;6505
2022-06-03 06:00:00;0.0;0.0;0.04;0.03;0.16;9.62;19.53;10.1;11.0;9.1;9.9;10.7;8.8;9.7;10.5;9.1;9.2;9.8;8.7;12.4;12.5;12.3;14.6;14.9;14.5;5703;6539
2022-06-03 07:00:00;0.0;0.0;0.04;0.03;0.16;9.63;19.52;13.1;14.5;11.0;12.8;14.1;10.8;12.4;14.0;10.5;11.2;12.5;9.8;12.5;12.7;12.3;14.3;14.5;14.1;6906;6642
2022-06-03 08:00:00;0.0;0.0;0.05;0.03;0.14;9.64;19.5;15.9;17.1;14.8;15.5;16.7;14.5;15.5;16.7;14.4;14.1;15.4;12.7;13.0;13.4;12.7;14.0;14.1;13.9;6983;6707
