Date/heure;Précipitations [mm];EAG Humidité du sol 1 [%];EAG Humidité du sol 2 [%];EAG Humidité du sol 3 [%];EAG Humidité du sol 4 [%];EAG Humidité du sol 5 [%];EAG Humidité du sol 6 [%];Température du sol MOY 1 [°C];Température du sol MAX 1 [°C];Température du sol MIN 1 [°C];Température du sol MOY 2 [°C];Température du sol MAX 2 [°C];Température du sol MIN 2 [°C];Température du sol MOY 3 [°C];Température du sol MAX 3 [°C];Température du sol MIN 3 [°C];Température du sol MOY 4 [°C];Température du sol MAX 4 [°C];Température du sol MIN 4 [°C];Température du sol MOY 5 [°C];Température du sol MAX 5 [°C];Température du sol MIN 5 [°C];Température du sol MOY 6 [°C];Température du sol MAX 6 [°C];Température du sol MIN 6 [°C];Batterie [mV];Panneau solaire [mV]
2022-09-08 12:00:00;0;0;0;0,14;0,01;0;0,02;18,6;18,9;18,1;18,6;18,9;18;19;19,3;18,4;19,2;19,7;18,5;19,5;19,8;18,9;19,5;19,8;19,1;6733;0
2022-09-08 11:00:00;0;1,63;5,83;10,97;20,56;27,74;23,49;17;17,7;16,8;16,9;17,5;16,8;18;18,1;17,9;18,7;18,8;18,4;18,7;18,8;18,7;18,9;19;18,9;6786;2115
2022-09-08 10:00:00;0;2,21;7;13,73;27,32;36,98;31,33;16,1;16,4;15,8;16,8;16,8;16,8;18,1;18,2;18,1;18,8;18,9;18,8;18,8;18,9;18,8;19;19;19;6802;10420
2022-09-08 09:00:00;0;2,25;7,01;13,73;27,33;36,99;31,33;14,9;15,5;14,5;16,8;17;16,8;18,3;18,3;18,3;18,8;19;18,8;18,9;18,9;18,9;19;19,1;19;6778;7028
2022-09-08 08:00:00;0;2,27;7;13,74;27,31;37;31,34;14,2;14,6;14,2;17;17,1;17;18,3;18,5;18,3;19;19;19;18,9;18,9;18,9;19;19;19;6457;6685
2022-09-08 07:00:00;0;2,27;7,01;13,75;27,35;37,01;31,34;14,4;14,5;14,3;17,2;17,2;17,2;18,5;18,5;18,5;18,9;19;18,9;18,9;19;18,9;19;19;19;6424;283
2022-09-08 06:00:00;0;2,27;7,02;13,77;27,35;37,02;31,34;14,5;14,8;14,4;17,3;17,4;17,3;18,4;18,6;18,4;19;19,1;19;18,9;19;18,9;19;19;19;6435;0
2022-09-08 05:00:00;0;2,27;7,03;13,78;27,36;37,02;31,35;14,6;14,8;14,5;17,4;17,5;17,4;18,6;18,7;18,6;19,1;19,2;19,1;18,9;19,1;18,9;19;19;19;6453;0
2022-09-08 04:00:00;0;2,27;7,04;13,78;27,36;37;31,35;14,8;14,9;14,7;17,6;17,8;17,5;18,7;18,9;18,7;19,2;19,2;19,2;19,1;19,1;19,1;19;19;19;6470;0
2022-09-08 03:00:00;0;2,27;7,05;13,8;27,38;37;31,35;15,1;15,2;14,9;17,8;17,9;17,8;18,8;18,9;18,8;19,2;19,3;19,2;19,1;19,1;19,1;19;19;19;6497;0
2022-09-08 02:00:00;0;2,27;7,06;13,8;27,37;36,99;31,34;15;15,2;15;18;18,2;17,9;19;19,1;19;19,2;19,3;19,2;19,1;19,1;19,1;19;19;19;6524;0
2022-09-08 01:00:00;0,2;2,24;7,06;13,82;27,36;36,99;31,35;15,3;15,6;15,2;18,2;18,4;18,2;19,1;19,1;19,1;19,3;19,4;19,3;19,1;19,1;19,1;19;19;19;6595;0
2022-09-08 00:00:00;0;2,18;7,07;13,82;27,37;36,99;31,35;15,8;16;15,8;18,4;18,6;18,4;19,1;19,2;19,1;19,3;19,3;19,3;19,1;19,1;19,1;19;19;19;6631;0
2022-09-07 23:00:00;0;2,11;7,08;13,81;27,35;36,99;31,34;16,3;16,5;16,3;18,6;18,8;18,6;19,2;19,3;19,2;19,3;19,4;19,3;19,1;19,1;19,1;19;19;19;6666;0
2022-09-07 22:00:00;0;2,09;7,08;13,81;27,36;36,99;31,33;16,6;16,8;16,6;18,8;19;18,8;19,3;19,3;19,3;19,2;19,4;19,2;19;19,1;19;19;19,1;19;6706;0
2022-09-07 21:00:00;0;2,08;7,09;13,82;27,35;37,03;31,34;17,1;17,4;16,8;19,1;19,2;19,1;19,3;19,3;19,3;19,1;19,2;19,1;18,9;19;18,9;19;19;19;6746;0
2022-09-07 20:00:00;0;2,08;7,09;13,82;27,35;37,02;31,33;17,9;18,2;17,7;19,2;19,4;19,2;19,2;19,3;19,2;19,1;19,2;19,1;18,9;18,9;18,9;19;19,1;19;6802;6937
2022-09-07 19:00:00;0;2,1;7,09;13,81;27,35;37;31,35;18,3;18,4;18,3;19,4;19,5;19,4;19,1;19,3;19,1;19,1;19,2;19,1;18,9;18,9;18,9;19;19;19;6802;9844
2022-09-07 18:00:00;0;2,17;7,09;13,78;27,35;37,02;31,35;18,7;19;18,6;19,5;19,6;19,5;19;19,1;19;19;19,1;19;18,9;18,9;18,9;19;19;19;6804;9848
2022-09-07 17:00:00;0;2,12;7,07;13,78;27,36;37,03;31,35;19,3;21,4;18,2;19,6;19,6;19,6;18,8;18,9;18,8;18,9;19,1;18,9;18,9;19;18,9;19;19;19;6809;10597
