Date/heure;Précipitations [mm];EAG Humidité du sol 1 [%];EAG Humidité du sol 2 [%];EAG Humidité du sol 3 [%];EAG Humidité du sol 4 [%];EAG Humidité du sol 5 [%];EAG Humidité du sol 6 [%];Température du sol MOY 1 [°C];Température du sol MAX 1 [°C];Température du sol MIN 1 [°C];Température du sol MOY 2 [°C];Température du sol MAX 2 [°C];Température du sol MIN 2 [°C];Température du sol MOY 3 [°C];Température du sol MAX 3 [°C];Température du sol MIN 3 [°C];Température du sol MOY 4 [°C];Température du sol MAX 4 [°C];Température du sol MIN 4 [°C];Température du sol MOY 5 [°C];Température du sol MAX 5 [°C];Température du sol MIN 5 [°C];Température du sol MOY 6 [°C];Température du sol MAX 6 [°C];Température du sol MIN 6 [°C];Panneau solaire [mV];Batterie [mV]
2022-06-01 14:00:00;0.0;0.0;0.02;0.07;0.41;0.06;0.0;19.6;20.1;19.3;18.7;19.0;18.6;18.0;18.9;17.7;17.6;18.2;17.3;18.1;18.8;17.8;19.3;21.2;18.5;6844;10203
2022-06-01 15:00:00;0.0;0.0;0.02;0.07;0.4;0.05;0.0;20.3;21.0;19.7;20.0;20.4;19.7;20.5;20.9;20.1;19.9;20.7;19.3;20.6;21.5;19.9;25.2;26.5;24.1;6851;10238
2022-06-01 16:00:00;0.0;0.0;0.02;0.07;0.4;0.05;0.0;20.3;21.0;19.9;20.2;20.7;19.9;20.5;21.1;20.3;20.6;20.9;20.4;21.6;21.8;21.4;25.5;26.9;24.7;6838;8462
2022-06-01 17:00:00;0.0;0.0;0.02;0.07;0.4;0.05;0.0;19.8;19.9;19.8;19.6;19.9;19.5;19.9;20.2;19.7;20.1;20.2;20.0;21.0;21.2;20.8;23.8;24.5;22.7;6702;260
2022-06-01 18:00:00;0.0;0.0;0.02;0.07;0.4;0.05;0.0;21.5;22.0;20.8;20.6;21.2;19.9;20.2;20.7;19.8;20.3;20.7;20.1;21.0;21.3;21.0;22.4;22.5;22.4;6646;130
2022-06-01 19:00:00;0.0;0.0;0.02;0.07;0.4;0.05;0.0;21.5;21.8;21.5;21.3;21.3;21.3;20.8;20.9;20.8;20.8;20.9;20.8;21.2;21.4;21.2;21.7;22.1;21.7;6631;0
2022-06-01 20:00:00;0.0;0.0;0.01;0.07;0.4;0.05;0.0;21.4;21.6;21.3;21.1;21.3;21.1;20.7;20.9;20.7;20.7;20.8;20.7;21.0;21.2;21.0;21.3;21.6;21.3;6624;0
2022-06-01 21:00:00;0.0;0.0;0.02;0.07;0.4;0.05;0.0;20.7;21.2;20.3;20.7;21.1;20.4;20.4;20.7;20.2;20.4;20.6;20.3;20.6;21.0;20.5;20.7;21.1;20.4;6613;0
2022-06-01 22:00:00;0.0;0.0;0.02;0.07;0.4;0.05;0.0;19.0;19.9;18.3;19.5;20.2;18.9;19.6;20.1;19.3;19.7;20.1;19.3;19.9;20.4;19.5;19.3;20.1;18.7;6604;0
2022-06-01 23:00:00;0.0;0.0;0.02;0.07;0.4;0.05;0.0;16.4;17.6;15.6;17.2;18.3;16.3;17.8;18.7;16.9;18.2;18.9;17.5;18.6;19.2;18.0;17.4;18.2;16.7;6599;0
2022-06-02 00:00:00;0.0;0.0;0.02;0.07;0.4;0.05;0.0;14.3;15.0;13.7;14.8;15.6;14.2;15.6;16.5;14.9;16.3;17.1;15.7;16.7;17.4;16.1;15.6;16.3;15.0;6595;0
2022-06-02 01:00:00;0.0;0.0;0.02;0.08;0.41;0.05;0.0;12.7;13.2;12.4;13.2;13.7;12.9;14.0;14.6;13.6;14.7;15.3;14.3;15.1;15.7;14.8;14.0;14.5;13.6;6591;0
