Date/heure;Température de l'air MOY [°C];Température de l'air MAX [°C];Température de l'air MIN [°C];Précipitations [mm];EAG Humidité du sol 1 [%];EAG Humidité du sol 2 [%];EAG Humidité du sol 3 [%];EAG Humidité du sol 4 [%];EAG Humidité du sol 5 [%];EAG Humidité du sol 6 [%];Température du sol MOY 1 [°C];Température du sol MAX 1 [°C];Température du sol MIN 1 [°C];Température du sol MOY 2 [°C];Température du sol MAX 2 [°C];Température du sol MIN 2 [°C];Température du sol MOY 3 [°C];Température du sol MAX 3 [°C];Température du sol MIN 3 [°C];Température du sol MOY 4 [°C];Température du sol MAX 4 [°C];Température du sol MIN 4 [°C];Température du sol MOY 5 [°C];Température du sol MAX 5 [°C];Température du sol MIN 5 [°C];Température du sol MOY 6 [°C];Température du sol MAX 6 [°C];Température du sol MIN 6 [°C];Panneau solaire [mV];Batterie [mV]
2022-09-08 16:00:00;24,49;24,57;24,42;0;0;0,03;0,02;0,17;0,21;0,14;23,9;24;23,9;23,6;23,7;23,5;23,3;23,3;23,3;22,5;22,6;22,5;22,7;22,8;22,7;22,4;22,4;22,4;2914;6459
2022-09-08 15:00:00;24,31;24,89;23,61;0;0;0,03;0,02;0,18;0,21;0,14;23,5;23,8;23;22,9;23,5;22,2;22,6;23,1;22,1;21,9;22,4;21,5;22,2;22,6;21,6;21,8;22,3;21,4;2866;6448
2022-09-08 14:00:00;23,36;23,95;22,56;0;0;0,03;0,02;0,17;0,22;0,15;22,2;22,8;21,8;21,6;22,2;21,2;21,7;22,1;21,5;21,1;21,5;20,9;21,3;21,7;21,1;21,2;21,5;21;6355;6479
2022-09-08 13:00:00;23,33;24,36;21,83;0;0;0,04;0,02;0,11;0,12;0,33;22,8;23,8;21,8;22;22,7;21,2;21,7;22,3;21;21,1;21,6;20,4;21,4;22,1;20,5;20,9;21,6;20,2;4898;6531
2022-09-08 12:00:00;21,21;21,87;20,1;0;0;0,05;0,01;0,09;0,07;0,37;21,1;21,7;20,5;20,6;21,2;20;20,3;21;19,7;19,8;20,4;19,2;19,8;20,5;19,2;19,4;20;18,8;2794;6462
2022-09-08 11:00:00;18,72;20,18;17,55;0;0;0,04;0,05;0,5;0,07;1,91;19,2;20,5;18,4;18,8;20;18,2;18,4;19,6;17,8;17,7;19,1;16,9;17,6;19;16,9;17,2;18,6;16,6;4002;6630
2022-09-08 10:00:00;16,75;17,5;16,09;0;3,2;18,2;15,23;23,65;32,42;32,57;17;17,9;16,7;17,7;18,5;17,6;18,5;18,9;18,5;18,3;18,3;18,1;18,4;18,4;18,1;17,9;18;17,7;6911;6650
2022-09-08 09:00:00;15,99;16,54;15,49;0;3,84;21,86;18,28;28,31;38,92;38,77;16,5;16,7;16,3;17,6;17,7;17,6;18,6;18,7;18,5;18,4;18,5;18,3;18,4;18,4;18,4;18;18;17,9;6825;6599
2022-09-08 08:00:00;14,57;15,15;13,93;0;3,84;21,87;18,29;28,31;38,93;38,78;16,3;16,3;16,3;17,8;17,9;17,6;18,7;18,7;18,7;18,5;18,5;18,4;18,4;18,6;18,4;18;18,1;18;6772;6519
2022-09-08 07:00:00;13,99;14,37;13,71;0;3,83;21,9;18,32;28,33;38,92;38,76;16,4;16,5;16,3;18;18,1;17,9;18,9;18,9;18,8;18,5;18,6;18,5;18,6;18,6;18,5;18,1;18,1;18;2612;6451
2022-09-08 06:00:00;14,21;14,36;14,11;0;3,84;21,94;18,33;28,34;38,92;38,76;16,6;16,7;16,5;18,1;18,3;18,1;18,9;19;18,9;18,6;18,7;18,5;18,6;18,6;18,6;18,1;18,1;18;0;6448
2022-09-08 05:00:00;14,33;14,51;14,17;0;3,84;21,96;18,34;28,34;38,94;38,76;16,8;16,9;16,7;18,3;18,5;18,3;19,1;19,1;19;18,7;18,7;18,7;18,6;18,6;18,6;18,1;18,1;18,1;0;6454
2022-09-08 04:00:00;14,19;14,35;13,98;0;3,86;21,99;18,37;28,36;38,94;38,76;17;17,1;16,9;18,5;18,6;18,5;19,1;19,3;19,1;18,7;18,8;18,7;18,6;18,6;18,6;18,1;18,1;18,1;0;6468
2022-09-08 03:00:00;14,43;14,54;14,29;0;3,86;22,02;18,36;28,36;38,95;38,76;17,2;17,3;17,1;18,7;18,8;18,6;19,3;19,3;19,2;18,9;18,9;18,8;18,6;18,7;18,6;18,1;18,2;18,1;0;6479
2022-09-08 02:00:00;14,44;14,65;14,17;0;3,86;22,05;18,37;28,36;38,94;38,76;17,4;17,5;17,3;18,9;19,1;18,8;19,4;19,6;19,3;18,9;18,9;18,9;18,7;18,8;18,6;18,1;18,1;18,1;0;6482
