Date/heure;Précipitations [mm];EAG Humidité du sol 1 [%];EAG Humidité du sol 2 [%];EAG Humidité du sol 3 [%];EAG Humidité du sol 4 [%];EAG Humidité du sol 5 [%];EAG Humidité du sol 6 [%];Température du sol MOY 1 [°C];Température du sol MAX 1 [°C];Température du sol MIN 1 [°C];Température du sol MOY 2 [°C];Température du sol MAX 2 [°C];Température du sol MIN 2 [°C];Température du sol MOY 3 [°C];Température du sol MAX 3 [°C];Température du sol MIN 3 [°C];Température du sol MOY 4 [°C];Température du sol MAX 4 [°C];Température du sol MIN 4 [°C];Température du sol MOY 5 [°C];Température du sol MAX 5 [°C];Température du sol MIN 5 [°C];Température du sol MOY 6 [°C];Température du sol MAX 6 [°C];Température du sol MIN 6 [°C];Batterie [mV];Panneau solaire [mV]
2022-09-08 14:00:00;0;0;0;0,04;0;0,02;0,02;22,8;23,2;22,4;22,2;22,7;21,9;21,7;22,2;21,5;20,6;21,1;20,3;19,9;20,4;19,8;20,5;21;20,3;6884;5464
2022-09-08 13:00:00;0;0;0;0,05;0;0,01;0,03;21,5;22,2;20,8;21;21,5;20,6;20,8;21,3;20,5;19,6;20,1;19,3;19,2;19,6;18,9;19,8;20,1;19,5;6889;10183
2022-09-08 12:00:00;0;0;0;0,02;0;0,02;0,08;19,5;20,5;18,5;19,5;20,3;18,5;19,5;20,3;18,6;18,3;19,1;17,7;18;18,7;17,3;18,7;19,3;17,9;6882;7055
2022-09-08 11:00:00;0;0;0;0,02;0;0;0;17,7;18,2;17,5;17,9;18,3;17,6;17,9;18,2;17,5;17;17,3;16,7;16,4;16,9;16,1;16,8;17,4;16,5;6869;6791
2022-09-08 10:00:00;0;12,17;20,4;23,28;22,91;32,36;39,11;16,7;16,9;16,7;17,8;18;17,8;18,6;18,6;18,6;17,8;17,9;17,8;17,3;17,5;17,3;17,8;17,8;17,8;6887;10270
2022-09-08 09:00:00;0;12,17;20,41;23,31;22,92;32,35;39,11;16,6;16,7;16,5;18;18;18;18,6;18,8;18,6;17,8;18;17,8;17,5;17,5;17,5;17,8;17,8;17,8;6869;7173
2022-09-08 08:00:00;0;12,17;20,41;23,32;22,93;32,36;39,12;16,7;16,8;16,7;18,2;18,2;18,2;18,8;18,8;18,8;17,9;18,1;17,9;17,5;17,5;17,5;17,8;17,8;17,8;6502;6709
2022-09-08 07:00:00;0;12,17;20,43;23,32;22,93;32,38;39,13;16,9;16,9;16,9;18,2;18,4;18,2;18,9;19;18,9;18,1;18,1;18,1;17,5;17,5;17,5;17,8;17,8;17,8;6468;417
2022-09-08 06:00:00;0;12,19;20,44;23,33;22,94;32,38;39,12;17;17,1;17;18,3;18,4;18,3;19;19;19;18,1;18,1;18,1;17,6;17,6;17,6;17,8;17,9;17,8;6486;0
2022-09-08 05:00:00;0;12,19;20,45;23,35;22,96;32,36;39,12;17,1;17,3;17,1;18,5;18,8;18,5;19,1;19,2;19,1;18,1;18,2;18,1;17,6;17,7;17,6;17,8;17,9;17,8;6506;0
2022-09-08 04:00:00;0;12,19;20,48;23,37;22,94;32,36;39,12;17,4;17,6;17,4;18,7;18,9;18,7;19,2;19,4;19,2;18,2;18,3;18,2;17,6;17,7;17,6;17,8;17,9;17,8;6533;0
2022-09-08 03:00:00;0,2;12,19;20,49;23,37;22,95;32,36;39,14;17,6;17,7;17,6;18,9;19,2;18,9;19,3;19,4;19,3;18,2;18,4;18,2;17,7;17,7;17,7;17,8;17,8;17,8;6550;0
2022-09-08 02:00:00;0;12,21;20,5;23,38;22,97;32,37;39,14;18;18,2;18;19,2;19,3;19,1;19,4;19,4;19,4;18,2;18,3;18,2;17,7;17,7;17,7;17,8;17,9;17,8;6591;0
2022-09-08 01:00:00;0;12,22;20,51;23,38;22,96;32,37;39,13;18,3;18,6;18,3;19,3;19,5;19,3;19,4;19,6;19,4;18,2;18,3;18,2;17,7;17,7;17,7;17,8;17,9;17,8;6662;0
2022-09-08 00:00:00;0;12,24;20,53;23,38;22,96;32,36;39,13;18,7;18,9;18,6;19,5;19,7;19,5;19,6;19,7;19,6;18,2;18,3;18,2;17,6;17,7;17,6;17,8;17,8;17,8;6700;0
2022-09-07 23:00:00;0;12,25;20,55;23,39;22,97;32,36;39,13;19;19,2;19;19,7;19,9;19,7;19,6;19,7;19,6;18,2;18,3;18,2;17,6;17,7;17,6;17,8;17,8;17,8;6733;0
2022-09-07 22:00:00;0;12,27;20,55;23,39;22,95;32,36;39,13;19,4;19,6;19,4;19,9;19,9;19,9;19,6;19,7;19,6;18,2;18,3;18,2;17,6;17,7;17,6;17,8;17,8;17,8;6773;0
2022-09-07 21:00:00;0;12,29;20,55;23,38;22,95;32,39;39,13;19,8;20,1;19,7;20,1;20,1;20,1;19,6;19,7;19,6;18,2;18,3;18,2;17,5;17,6;17,5;17,8;17,8;17,8;6818;0
2022-09-07 20:00:00;0;12,31;20,56;23,38;22,95;32,38;39,13;20,2;20,4;20,2;20,1;20,1;20,1;19,5;19,7;19,5;18,1;18,2;18,1;17,5;17,5;17,5;17,8;17,8;17,8;6878;6992
2022-09-07 19:00:00;0;12,33;20,56;23,36;22,94;32,38;39,13;20,6;20,8;20,5;20,1;20,1;20,1;19,4;19,4;19,4;18,1;18,1;18,1;17,5;17,5;17,5;17,8;17,8;17,8;6882;9695
2022-09-07 18:00:00;0;12,35;20,54;23,36;22,94;32,38;39,14;20,9;21,2;20,8;19,9;20,1;19,9;19,2;19,3;19,2;18;18,1;18;17,5;17,5;17,5;17,8;17,8;17,8;6884;9915
